questions
"Decode the message by shifting each letter thirteen positions backward in the alphabet.
         Jrry, vs gurl qba'g pbzrr, fb or vg."
"Decode the message by shifting each letter two positions backward in the alphabet,
         Ygnn, kh vjga fqp'v eqog, uq dg kv."
"Decode the message by shifting each letter thirteen positions backward in the alphabet,
         Svefg, fur whfg cbfgrq gb ure Vafgntenz fgbel."
"Decode the message by shifting each letter thirteen positions backward in the alphabet.
         Fbeel, Naanguhan jevgrf gb bhe Pbclevtug Hfref."
"Encode the message by shifting each letter thirteen positions backward in the alphabet.
         Va n jbeq, rirelguvat unf orra pbzcyvpngrq gurer."
"Encode the message by shifting each letter thirteen positions backward in the alphabet.
         Va n jbeq, tbireanapr unf orra shefgenvat qnvyl."
